Song Title	Date	Language
Come and Worship	12/4/16	English
What Child is This	12/4/16	Both
O Come all Ye Faithful	12/4/16	Both
Joy to the World	12/4/16	Both
O Come O Come Emmanuel	12/11/16	Both
Suenen Dulces Himnos	12/11/16	Spanish
Hark the Herald Angels Sing	12/11/16	Both
O Holy Night	12/11/16	Both
Come Thou Long Expected Jesus	12/11/16	English
Angels We Have Heard on High	12/11/16	Both
O Come all Ye Faithful	12/18/16	Both
Angels from the Realms of Glory	12/18/16	Both
"Ven a mi coraz�n, O Cristo"	12/18/16	Spanish
Mary Did You Know?	12/18/16	English
It Came Upon the Midnight Clear	12/18/16	Both
O Come O Come Emmanuel	12/18/16	Both
Come and Worship	12/24/16	Both
"Ven a mi coraz�n, O Cristo"	12/24/16	Spanish
O Holy Night	12/24/16	Both
Silent Night	12/24/16	Both
O Come O Come Emmanuel	12/25/16	Both
All Creatures of Our God and King	12/25/16	Both
O Holy Night	12/25/16	Both
In Christ Alone	12/25/16	English
Build Your Kingdom Here	1/1/17	English
All Creatures of Our God and King	1/1/17	Both
Me Postro	1/1/17	Spanish
"Ven a mi coraz�n, O Cristo"	1/1/17	Spanish
Conmigo Est�s	1/1/17	Spanish
Dios Majestuoso	1/8/17	Spanish
Dame Tus ojos	1/8/17	Spanish
In Christ Alone	1/8/17	English
Lord I Need You	1/8/17	English
El Dios Que Adoramos	1/8/17	Spanish
Good Good Father	1/8/17	English
Holy Spirit	1/15/17	English
Indomable	1/15/17	Spanish
Eternamente Exaltado	1/15/17	Spanish
Tengo Un Refugio	1/15/17	Spanish
Psalm 46 (Lord of Hosts)	1/15/17	English
Love Like Fire	1/15/17	Spanish
Desert Song	1/22/17	Spanish
Gracia Sublime Es	1/22/17	Spanish
How Deep the Father's Love for Us	1/22/17	English
Revelation Song	1/22/17	Spanish
Build Your Kingdom Here	1/22/17	English
Hosanna (Hillsong)	1/22/17	Both
Great I Am	1/29/17	Both
Lead Me To The Cross	1/29/17	Spanish
How Deep the Father's Love for Us	1/29/17	English
Before the Throne	1/29/17	Both
"O Heart, Bereaved and Lonely"	1/29/17	English
El Dios Que Adoramos	1/29/17	Spanish
Indescribable	2/5/17	Both
There Is Nothing	2/5/17	English
Conmigo Est�s	2/5/17	Spanish
Aumenta mi fe	2/5/17	Spanish
Consolador	2/5/17	Spanish
Be Thou My Vision	2/5/17	English
Praise to the Lord Almighty	2/12/17	English
Relentless	2/12/17	Both
From the Inside Out	2/12/17	Spanish
Psalm 100	2/12/17	Spanish
A Mighty Fortress	2/12/17	Both
Take My Life	2/12/17	Both
How Great Thou Art	2/19/17	Both
Jesus Paid It All	2/19/17	English
It Is Well	2/19/17	Both
"Man of Sorrows (Hallelujah, What a Savior)"	2/19/17	Both
Soon	2/19/17	English
Conmigo Est�s	2/19/17	Spanish
Praise to the Lord Almighty	2/26/17	English
Behold Our God	2/26/17	Spanish
"Holy, Holy, Holy"	2/26/17	Spanish
Before the Throne	2/26/17	English
Oceans	2/26/17	English
Eternamente Exaltado	2/26/17	Spanish
Eres El Camino	3/5/17	Spanish
Beautiful	3/5/17	Spanish
By Faith	3/5/17	English
To You Be The Glory	3/5/17	English
The Revelation of Jesus Christ	3/5/17	English
Lead Me To The Cross	3/5/17	Spanish
Dios Majestuoso	3/12/17	Spanish
Dame Tus ojos	3/12/17	Spanish
To You Be The Glory	3/12/17	English
Sovereign	3/12/17	English
"Holy, Holy, Holy"	3/12/17	Spanish
Because He Lives (Amen)	3/12/17	English
